Company,Website,Location,Rating,Review Count,Hourly Rate,Min Project Size,Employee Size,Qoutation,Tagline
3 SIDED CUBE,https://3sidedcube.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=directory-mobile-app-developers,"Bournemouth, United Kingdom",4.9,29 reviews,$100 - $149 / hr,"$50,000+",10 - 49,"""3 SIDED CUBE was a pleasure to work with — they worked fast, fluidly, and iteratively.""",Technology For Good - Global App Developer
itCraft,https://itcraftapps.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=mobile-app-development,"Warszawa, Poland",5.0,51 reviews,$50 - $99 / hr,"$50,000+",50 - 249,"""The itCraft team was always committed, available, and flexible during the entire process.""",Build products with agile teams you can trust
Cheesecake Labs,https://cheesecakelabs.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=mobile-application-developers,"San Francisco, CA",4.9,36 reviews,$50 - $99 / hr,"$50,000+",50 - 249,"""They prioritized what we needed."" """,We build delightful digital experiences
Utility,https://utilitynyc.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=global,"New York, NY",4.8,25 reviews,$100 - $149 / hr,"$50,000+",50 - 249,"""What was most impressive was probably their speed and skills.""",AWARD-WINNING MOBILE DESIGN & DEVELOPMENT AGENCY
Radiansys Inc,http://www.radiansys.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=directory-mobile-application-developers,"Gurugram, India",5.0,10 reviews,< $25 / hr,"$10,000+",50 - 249,"""Radiansys Inc doesn't give up on a project and fights to ensure the client is always happy.""",SAN FRANCISCO | NEW DELHI -MOBILE APP & FULL STACK
Zudu,https://zudu.co.uk/?utm_source=clutch.co&utm_medium=referral&utm_campaign=directory-mobile-application-developers,"Dundee, United Kingdom",5.0,14 reviews,$50 - $99 / hr,"$10,000+",10 - 49,"""I appreciated their honesty and passion for their work.""","Award Winning Apps - Design, Develop, Market"
Geniusee,https://geniusee.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=app-developers,"Kyiv, Ukraine",5.0,38 reviews,$25 - $49 / hr,"$25,000+",50 - 249,“Geniusee is taking the vision we gave them and delivering exactly what we wanted.”,Web/Mobile Development & UX/UI design
appssemble,https://www.appssemble.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=directory-mobile-application-developers,"Cluj-Napoca, Romania",5.0,17 reviews,$50 - $99 / hr,"$10,000+",10 - 49,"""appssemble can develop what they claim from a technical perspective, and they reply quickly to any concern or request.""",Mobile apps for startups.
Michigan Software Labs,http://michiganlabs.com/?utm_source=clutch&utm_medium=referral,"Ada, MI",4.9,8 reviews,$150 - $199 / hr,"$25,000+",10 - 49,"""They were in tune with our needs. This project was more about meeting our business needs than just building an app.""",We Make Apps
NMG Technologies,https://nmgtechnologies.com/clutch/hire-app-developer?utm_campaign=mobile_application_developers&utm_source=clutch,"Las Vegas, NV",4.7,32 reviews,$25 - $49 / hr,"$1,000+",10 - 49,"""They make sure everything they do is within scope and don’t charge more than they should.""","AWARD WINNING OFFSHORE Mobile, Software, Web Dev"
ChopDawg.com,https://www.chopdawg.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=directory,"Philadelphia, PA",4.9,62 reviews,$100 - $149 / hr,"$25,000+",10 - 49,"""I’m very pleased with them and the clever design they’ve created."" ""","Think Partner, Not Agency"
Tapptitude,https://tapptitude.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=directory-mobile-application-developers,"Cluj-Napoca, Romania",5.0,48 reviews,$50 - $99 / hr,"$25,000+",50 - 249,“They’re a team of people we culturally mesh with and feel very comfortable working with.”,mobile apps with attitude
Konstant Infosolutions,https://www.konstantinfo.com/?request-a-quote&utm_source=clutch.co&utm_medium=referral&utm_campaign=ClutchDMG,"Jaipur, India",4.8,116 reviews,< $25 / hr,"$5,000+",50 - 249,"""We were most impressed with their team's flexibility in terms of development, budget, and communication.""",ISO 9001:2015 Certified App Development Company
mTraction Enterprise,https://enterprise.affle.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=directory-mobile-application-developers,"Singapore, Singapore",4.6,39 reviews,$25 - $49 / hr,"$25,000+",50 - 249,"""The development experience was exceptional and enjoyable.""",Reinventing 360° Digital Transformation
RichestSoft,https://richestsoft.com/mobile-application-development.html?utm_source=clutch.co&utm_medium=referral&utm_campaign=directory-mobile-application-developers,"Sahibzada Ajit Singh Nagar, India",4.8,44 reviews,< $25 / hr,"$1,000+",10 - 49,“RichestSoft’s team will step in and offer their expertise to help us navigate the mobile app industry.”,Web & Mobile Apps Development Company
Grey Chain,https://greychaindesign.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=directory-mobile-application-developers,"White Plains, NY",5.0,15 reviews,< $25 / hr,"$10,000+",10 - 49,"""They had a management style that we cannot compare to any other company.""",Partnering to bring ideas to reality
Xmartlabs,https://xmartlabs.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=directory-mobile-application-developers,"Montevideo, Uruguay",5.0,24 reviews,$50 - $99 / hr,"$10,000+",50 - 249,"""They’re natural problem solvers and have great leaders that are both tech- and business-oriented.""",Technical expertise for great products
MindSea,http://www.mindsea.com/?utm_source=clutch&utm_medium=referral&utm_campaign=app-developers-global,"Halifax, Canada",5.0,23 reviews,$100 - $149 / hr,"$10,000+",10 - 49,“MindSea’s project management distinguishes them from other providers; they’ve done a very good job in that regard.”,Health & Wellness App Design & Development
Infinum,https://infinum.co/?utm_source=clutch.co&utm_medium=referral&utm_campaign=directory-mobile-application-developers,"New York City, NY",4.8,38 reviews,$100 - $149 / hr,"$25,000+",50 - 249,"""The continuity of project activities is ensured despite changes in their team structure.""",Digital products that solve real-life problems
RV Technologies,https://rvtechnologies.com/mobile-app-development/?utm_source=clutch.co&utm_medium=referral&utm_campaign=directory-mobile-app-developers,"Sahibzada Ajit Singh Nagar, India",4.8,50 reviews,< $25 / hr,"$1,000+",50 - 249,"""We're impressed by their ability to listen and work with us on a result and budget.""",Your Trusted App Development Partner!
Wolfpack Digital,https://wolfpack-digital.com/?utm_source=clutch&utm_campaign=directory-mobile-application-developers,"Cluj-Napoca, Romania",5.0,37 reviews,$50 - $99 / hr,"$10,000+",50 - 249,"""They are always excited about the project and are trying to improve their work.""",Powerful web and mobile apps. Start-to-End
Quytech,https://www.quytech.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=mobile-application-developers,"Gurugram, India",4.7,43 reviews,< $25 / hr,"$25,000+",50 - 249,"""They've been such a pleasure to work with so far.""","Mobile Apps, Games, Blockchain, AR/VR Company"
Halcyon Mobile,https://halcyonmobile.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=top-mobile-app-development-companies,"New York, NY",4.9,23 reviews,$50 - $99 / hr,"$25,000+",50 - 249,"""Only words of praise for the UX/UI Designer, the deliverables were above expectations.""",Award-winning full-service mobile agency
DECODE,https://decode.agency/?utm_source=clutch.co&utm_medium=referral&utm_campaign=app-developers,"Zagreb, Croatia",5.0,9 reviews,$50 - $99 / hr,"$25,000+",50 - 249,"""They have expertise in the area of mobile application architecture, automated deployment, and testing.""",Mobile app partner for leading software companies
Tapston,https://tapston.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=directory-mobile-application-developers,"Minsk, Belarus",5.0,21 reviews,$25 - $49 / hr,"$5,000+",10 - 49,"""Tapston was the perfect partner for us.""",Full Cycle Software Development Company
Sparx IT Solutions,https://www.sparxitsolutions.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=clutch-mobile-application-developers,"New York, NY",4.7,46 reviews,$25 - $49 / hr,"$10,000+",250 - 999,"""Every member of their team, including people in company leadership, had been very easy to talk to.""",World's #1 Digital Solution Provider
Alphonic Network Solutions,https://www.alphonic.in/?utm_source=clutch.co&utm_medium=mobile-application-developers,"Jaipur, India",5.0,7 reviews,$25 - $49 / hr,"$1,000+",50 - 249,"""It's basically understanding and delivering that is most impressive.""",Mobile Apps & Web Development Company
